item_id,sentiment,SentimentSource,SentimentText
2,0.43,Morrisons,Morrisons book second consecutive quarter of sales growth
3,-0.34400000000000003,IMI,IMI posts drop in first-quarter organic revenue; warns on full year
4,0.34,Glencore,"Glencore to refinance its short-term debt early, shares rise"
5,0.259,Ryanair,EasyJet attracts more passengers in June but still lags Ryanair
6,-0.231,Barclays,Barclays 'bad bank' chief to step down
7,0.113,BP,Bilfinger Industrial Services win Â£100m BP contract extension
8,0.424,Bilfinger Industrial Services,Bilfinger Industrial Services win Â£100m BP contract extension
9,-0.373,Barclays,Barclays share price subdued as bank faces fresh forex probe
10,0.111,Centrica PLC,Centrica prepared for takeover approach - chairman
11,-0.231,Glencore,Jim Armitage: Spare no tears as Glencore's bosses are paying such a small price
12,-0.221,Barclays,"Barclays, Deutsche Bank Fight to Lift Profit Just Got Harder"
13,0.541,Kingfisher,Kingfisher set to open another 200 Screwfix stores
14,-0.545,Diageo,Diageo sales disappoint as currency and comparatives leave bitter taste
15,-0.522,Smith & Nephew,Smith & Nephew recalls hip-replacement components
16,-0.775,Tesco PLC,Tesco is torn apart as watchdog finds supermarket repeatedly withheld payments from suppliers
17,-0.271,Legal & General Group Plc,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?
18,0.09,Tesco PLC,Here's my 10-point plan to make Tesco great again
19,0.052000000000000005,Schroders,"Schroders posts FY profit beat, replaces CEO and chairman in board shake-up"
20,0.181,BP,BP Seeks to Get Back Some Gulf Oil Spill Business Payouts
21,0.0,Standard Chartered PLC,"Can Standard Chartered PLC, BP plc & Burberry Group plc Keep Charging?"
22,-0.989,BP,"UPDATE 1-BP reports worst annual loss in at least 20 years, cuts more jobs"
23,0.053,Friends Life,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger
24,-0.338,L&G,"L&G still paying price for dividend cut during crisis, chief says"
25,0.314,Admiral,Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger
26,0.139,Whitbread,"Whitbread eyes savings, price rises to offset wage rises"
27,0.653,Kingfisher,Britain's FTSE lifted by solid Kingfisher
